from,to,total
Belgium,Jersey,9
Belgium,Italy,9
Belgium,Isle of Man,9
Belgium,Ireland,9
Belgium,India,2
Belgium,Iceland,2
Belgium,Hungary,9
Belgium,Guernsey,9
Belgium,Greece,9
Belgium,Gibraltar,9
Belgium,Germany,9
Belgium,France,9
Belgium,Finland,9
Belgium,Faroe Islands,2
Belgium,Estonia,9
Belgium,Denmark,9
Belgium,Czech Republic,9
Belgium,Cyprus,9
Belgium,Curacao,7
Belgium,Croatia,5
Belgium,Bulgaria,9
Belgium,"Bonaire, Sint Eustatius and Saba",2
Belgium,Belgium,2
Belgium,Austria,7
Belgium,Aruba,7
Belgium,Argentina,2
Belgium,Andorra,2
Bermuda,United States,4
Bermuda,United Kingdom,2
Bermuda,Sweden,2
Bermuda,Spain,2
Bermuda,South Africa,2
Bermuda,Slovenia,2
Bermuda,Slovakia,2
Bermuda,Seychelles,2
Bermuda,San Marino,2
Bermuda,Romania,2
Bermuda,Norway,2
Bermuda,Netherlands,2
Bermuda,Mexico,2
Bermuda,Malta,2
Bermuda,Luxembourg,2
Bermuda,Lithuania,2
Bermuda,Latvia,2
Bermuda,"Korea, Republic of",2
Bermuda,Italy,2
Bermuda,Ireland,2
Bermuda,India,2
Bermuda,Iceland,2
Bermuda,Hungary,2
Bermuda,Germany,2
Bermuda,France,2
Bermuda,Finland,2
Bermuda,Faroe Islands,2
Bermuda,Estonia,2
Bermuda,Denmark,2
Bermuda,Czech Republic,2
Bermuda,Bulgaria,1
Bermuda,Belgium,2
Bermuda,Argentina,2
"Bonaire, Sint Eustatius and Saba",United Kingdom,2
"Bonaire, Sint Eustatius and Saba",Spain,2
"Bonaire, Sint Eustatius and Saba",Slovenia,2
"Bonaire, Sint Eustatius and Saba",Luxembourg,2
"Bonaire, Sint Eustatius and Saba",Ireland,2
"Bonaire, Sint Eustatius and Saba",France,2
"Bonaire, Sint Eustatius and Saba",Estonia,2
"Bonaire, Sint Eustatius and Saba",Denmark,2
"Bonaire, Sint Eustatius and Saba",Czech Republic,2
"Bonaire, Sint Eustatius and Saba",Belgium,2
Brazil,United States,3
Bulgaria,"Virgin Islands, British",7
Bulgaria,United States,3
Bulgaria,United Kingdom,9
Bulgaria,Switzerland,2
Bulgaria,Sweden,9
Bulgaria,Spain,9
Bulgaria,South Africa,1
Bulgaria,Slovenia,9
Bulgaria,Slovakia,9
Bulgaria,Seychelles,1
Bulgaria,San Marino,2
Bulgaria,Romania,9
Bulgaria,Portugal,9
Bulgaria,Poland,9
Bulgaria,Norway,1
Bulgaria,Netherlands,9
Bulgaria,Montserrat,7
Bulgaria,Monaco,2
Bulgaria,Mexico,1
Bulgaria,Malta,9
Bulgaria,Luxembourg,9
Bulgaria,Lithuania,9
Bulgaria,Liechtenstein,2
Bulgaria,Latvia,9
Bulgaria,"Korea, Republic of",1
Bulgaria,Jersey,8
Bulgaria,Italy,9
Bulgaria,Isle of Man,8
Bulgaria,Ireland,9
Bulgaria,India,1
Bulgaria,Iceland,1
Bulgaria,Hungary,9
Bulgaria,Guernsey,8
Bulgaria,Greece,9
Bulgaria,Gibraltar,9
Bulgaria,Germany,9
Bulgaria,France,9
Bulgaria,Finland,9
Bulgaria,Faroe Islands,1
Bulgaria,Estonia,9
Bulgaria,Denmark,9
Bulgaria,Czech Republic,9
Bulgaria,Cyprus,9
Bulgaria,Curacao,7
Bulgaria,Croatia,5
Bulgaria,Belgium,9
Bulgaria,Austria,9
Bulgaria,Aruba,7
Bulgaria,Argentina,1
Bulgaria,Andorra,2
Cambodia,United States,2
Canada,United States,4
Cape Verde,United States,2
Cayman Islands,United States,4
Cayman Islands,United Kingdom,9
Cayman Islands,Sweden,9
Cayman Islands,Spain,9
Cayman Islands,South Africa,2
Cayman Islands,Slovenia,9
Cayman Islands,Slovakia,9
Cayman Islands,Seychelles,2
Cayman Islands,San Marino,2
Cayman Islands,Romania,9
Cayman Islands,Portugal,7
Cayman Islands,Poland,7
Cayman Islands,Norway,2
Cayman Islands,Netherlands,9
Cayman Islands,Mexico,2
Cayman Islands,Malta,9
Cayman Islands,Luxembourg,9
Cayman Islands,Lithuania,9
Cayman Islands,Latvia,9
Cayman Islands,"Korea, Republic of",2
Cayman Islands,Italy,9
Cayman Islands,Ireland,9
Cayman Islands,India,2
Cayman Islands,Iceland,2
Cayman Islands,Hungary,9
Cayman Islands,Greece,7
Cayman Islands,Gibraltar,7
Cayman Islands,Germany,9
Cayman Islands,France,9
Cayman Islands,Finland,9
Cayman Islands,Faroe Islands,2
Cayman Islands,Estonia,9
Cayman Islands,Denmark,9
Cayman Islands,Czech Republic,9
Cayman Islands,Cyprus,7
Cayman Islands,Croatia,3
Cayman Islands,Bulgaria,8
Cayman Islands,Belgium,9
Cayman Islands,Austria,7
Cayman Islands,Argentina,2
Chile,United States,2
China,United States,2
Colombia,United States,3
Costa Rica,United States,2
Croatia,"Virgin Islands, British",3
Croatia,United States,2
Croatia,United Kingdom,5
Croatia,Switzerland,2
Croatia,Sweden,5
Croatia,Spain,5
Croatia,Slovenia,5
Croatia,Slovakia,5
Croatia,San Marino,2
Croatia,Romania,5
Croatia,Portugal,5
Croatia,Poland,5
Croatia,Netherlands,5
Croatia,Montserrat,3
Croatia,Monaco,2
Croatia,Malta,5
Croatia,Luxembourg,5
Croatia,Lithuania,5
Croatia,Liechtenstein,2
Croatia,Latvia,5
Croatia,Jersey,3
Croatia,Italy,5
Croatia,Isle of Man,3
Croatia,Ireland,5
Croatia,Hungary,5
Croatia,Guernsey,3
Croatia,Greece,5
Croatia,Gibraltar,5
Croatia,Germany,5
Croatia,France,5
Croatia,Finland,5
Croatia,Estonia,5
Croatia,Denmark,5
Croatia,Czech Republic,5
Croatia,Cyprus,5
Croatia,Curacao,3
Croatia,Bulgaria,5
Croatia,Belgium,5
Croatia,Austria,5
Croatia,Aruba,3
Croatia,Andorra,2
Curacao,United States,2
Cyprus,"Virgin Islands, British",7
Cyprus,United States,3
Cyprus,United Kingdom,9
Cyprus,Switzerland,2
Cyprus,Sweden,9
Cyprus,Spain,9
Cyprus,Slovenia,9
Cyprus,Slovakia,9
Cyprus,San Marino,2
Cyprus,Romania,9
Cyprus,Portugal,9
Cyprus,Poland,9
Cyprus,Netherlands,9
Cyprus,Montserrat,7
Cyprus,Monaco,2
Cyprus,Malta,9
Cyprus,Luxembourg,9
Cyprus,Lithuania,9
Cyprus,Liechtenstein,2
Cyprus,Latvia,9
Cyprus,Jersey,7
Cyprus,Italy,9
Cyprus,Isle of Man,7
Cyprus,Ireland,9
Cyprus,Hungary,9
Cyprus,Guernsey,7
Cyprus,Greece,9
Cyprus,Gibraltar,9
Cyprus,Germany,9
Cyprus,France,9
Cyprus,Finland,9
Cyprus,Estonia,9
Cyprus,Denmark,9
Cyprus,Czech Republic,9
Cyprus,Curacao,7
Cyprus,Croatia,5
Cyprus,Bulgaria,9
Cyprus,Belgium,9
Cyprus,Austria,9
Cyprus,Aruba,7
Cyprus,Andorra,2
Czech Republic,"Virgin Islands, British",7
Czech Republic,United States,4
Czech Republic,United Kingdom,9
Czech Republic,Switzerland,2
Czech Republic,Sweden,9
Czech Republic,Spain,9
Czech Republic,South Africa,2
Czech Republic,Slovenia,9
Czech Republic,Slovakia,9
Czech Republic,Seychelles,2
Czech Republic,San Marino,2
Czech Republic,Romania,9
Czech Republic,Portugal,9
Czech Republic,Poland,9
Czech Republic,Norway,2
Czech Republic,Netherlands,9
Czech Republic,Montserrat,7
Czech Republic,Monaco,2
Czech Republic,Mexico,2
Czech Republic,Malta,9
Czech Republic,Luxembourg,9
Czech Republic,Lithuania,9
Czech Republic,Liechtenstein,2
Czech Republic,Latvia,9
Czech Republic,"Korea, Republic of",2
Czech Republic,Jersey,9
Czech Republic,Italy,9
Czech Republic,Isle of Man,9
Czech Republic,Ireland,9
Czech Republic,India,2
Czech Republic,Iceland,2
Czech Republic,Hungary,9
Czech Republic,Guernsey,9
Czech Republic,Greece,9
Czech Republic,Gibraltar,9
Czech Republic,Germany,9
Czech Republic,France,9
Czech Republic,Finland,9
Czech Republic,Faroe Islands,2
Czech Republic,Estonia,9
Czech Republic,Denmark,9
Czech Republic,Cyprus,9
Czech Republic,Curacao,7
Czech Republic,Croatia,5
Czech Republic,Bulgaria,9
Czech Republic,"Bonaire, Sint Eustatius and Saba",2
Czech Republic,Belgium,9
Czech Republic,Austria,9
Czech Republic,Aruba,7
Czech Republic,Argentina,2
Czech Republic,Andorra,2
Denmark,"Virgin Islands, British",7
Denmark,United States,3
Denmark,United Kingdom,9
Denmark,Switzerland,2
Denmark,Sweden,9
Denmark,Spain,9
Denmark,South Africa,2
Denmark,Slovenia,9
Denmark,Slovakia,9
Denmark,Seychelles,2
Denmark,San Marino,2
Denmark,Romania,9
Denmark,Portugal,9
Denmark,Poland,9
Denmark,Norway,2
Denmark,Netherlands,9
Denmark,Montserrat,7
Denmark,Monaco,2
Denmark,Mexico,2
Denmark,Malta,9
Denmark,Luxembourg,9
Denmark,Lithuania,9
Denmark,Liechtenstein,2
Denmark,Latvia,9
Denmark,"Korea, Republic of",2
Denmark,Jersey,9
Denmark,Italy,9
Denmark,Isle of Man,9
Denmark,Ireland,9
Denmark,India,2
Denmark,Iceland,2
Denmark,Hungary,9
Denmark,Guernsey,9
Denmark,Greece,9
Denmark,Gibraltar,9
Denmark,Germany,9
Denmark,France,9
Denmark,Finland,9
Denmark,Faroe Islands,2
Denmark,Estonia,9
Denmark,Czech Republic,9
Denmark,Cyprus,9
Denmark,Curacao,7
Denmark,Croatia,5
Denmark,Bulgaria,9
Denmark,"Bonaire, Sint Eustatius and Saba",2
Denmark,Belgium,9
Denmark,Austria,9
Denmark,Aruba,7
Denmark,Argentina,2
Denmark,Andorra,2
Dominica,United States,2
Dominican Republic,United States,2
Estonia,"Virgin Islands, British",7
Estonia,United States,4
Estonia,United Kingdom,9
Estonia,Switzerland,2
Estonia,Sweden,9
Estonia,Spain,9
Estonia,South Africa,2
Estonia,Slovenia,9
Estonia,Slovakia,9
Estonia,Seychelles,2
Estonia,San Marino,2
Estonia,Romania,9
Estonia,Portugal,9
Estonia,Poland,9
Estonia,Norway,2
Estonia,Netherlands,9
Estonia,Montserrat,7
Estonia,Monaco,2
Estonia,Mexico,2
Estonia,Malta,9
Estonia,Luxembourg,9
Estonia,Lithuania,9
Estonia,Liechtenstein,2
Estonia,Latvia,9
Estonia,"Korea, Republic of",2
Estonia,Jersey,9
Estonia,Italy,9
Estonia,Isle of Man,9
Estonia,Ireland,9
Estonia,India,2
Estonia,Iceland,2
Estonia,Hungary,9
Estonia,Guernsey,9
Estonia,Greece,9
Estonia,Gibraltar,9
Estonia,Germany,9
Estonia,France,9
Estonia,Finland,9
Estonia,Faroe Islands,2
Estonia,Denmark,9
Estonia,Czech Republic,9
Estonia,Cyprus,9
Estonia,Curacao,7
Estonia,Croatia,5
Estonia,Bulgaria,9
Estonia,"Bonaire, Sint Eustatius and Saba",2
Estonia,Belgium,9
Estonia,Austria,9
Estonia,Aruba,7
Estonia,Argentina,2
Estonia,Andorra,2
Faroe Islands,United Kingdom,2
Faroe Islands,Sweden,2
Faroe Islands,Spain,2
Faroe Islands,South Africa,2
Faroe Islands,Slovenia,2
Faroe Islands,Slovakia,2
Faroe Islands,San Marino,2
Faroe Islands,Romania,2
Faroe Islands,Norway,2
Faroe Islands,Netherlands,2
Faroe Islands,Mexico,2
Faroe Islands,Malta,2
Faroe Islands,Luxembourg,2
Faroe Islands,Lithuania,2
Faroe Islands,Latvia,2
Faroe Islands,"Korea, Republic of",2
Faroe Islands,Jersey,2
Faroe Islands,Italy,2
Faroe Islands,Isle of Man,2
Faroe Islands,Ireland,2
Faroe Islands,India,2
Faroe Islands,Iceland,2
Faroe Islands,Hungary,2
Faroe Islands,Guernsey,2
Faroe Islands,Gibraltar,2
Faroe Islands,Germany,2
Faroe Islands,France,2
Faroe Islands,Finland,2
Faroe Islands,Estonia,2
Faroe Islands,Denmark,2
Faroe Islands,Czech Republic,2
Faroe Islands,Bulgaria,1
Faroe Islands,Belgium,2
Faroe Islands,Argentina,2
Finland,"Virgin Islands, British",7
Finland,United States,3
Finland,United Kingdom,9
Finland,Switzerland,2
Finland,Sweden,9
Finland,Spain,9
Finland,South Africa,2
Finland,Slovenia,9
Finland,Slovakia,9
Finland,Seychelles,2
Finland,San Marino,2
Finland,Romania,9
Finland,Portugal,9
Finland,Poland,9
Finland,Norway,2
Finland,Netherlands,9
Finland,Montserrat,7
Finland,Monaco,2
Finland,Mexico,2
Finland,Malta,9
Finland,Luxembourg,9
Finland,Lithuania,9
Finland,Liechtenstein,2
Finland,Latvia,9
Finland,"Korea, Republic of",2
Finland,Jersey,9
Finland,Italy,9
Finland,Isle of Man,9
Finland,Ireland,9
Finland,India,2
Finland,Iceland,2
Finland,Hungary,9
Finland,Guernsey,9
Finland,Greece,9
Finland,Gibraltar,9
Finland,Germany,9
Finland,France,9
Finland,Faroe Islands,2
Finland,Estonia,9
Finland,Denmark,9
Finland,Czech Republic,9
Finland,Cyprus,9
Finland,Curacao,7
Finland,Croatia,5
Finland,Bulgaria,9
Finland,Belgium,9
Finland,Austria,9
Finland,Aruba,7
Finland,Argentina,2
Finland,Andorra,2
France,"Virgin Islands, British",7
France,United States,4
France,United Kingdom,9
France,Switzerland,2
France,Sweden,9
France,Spain,9
France,South Africa,2
France,Slovenia,9
France,Slovakia,9
France,Seychelles,2
France,San Marino,2
France,Romania,9
France,Portugal,9
France,Poland,9
France,Norway,2
France,Netherlands,9
France,Montserrat,7
France,Monaco,2
France,Mexico,2
France,Malta,9
France,Luxembourg,9
France,Lithuania,9
France,Liechtenstein,2
France,Latvia,9
France,"Korea, Republic of",2
France,Jersey,9
France,Italy,9
France,Isle of Man,9
France,Ireland,9
France,India,2
France,Iceland,2
France,Hungary,9
France,Guernsey,9
France,Greece,9
France,Gibraltar,9
France,Germany,9
France,Finland,9
France,Faroe Islands,2
France,Estonia,9
France,Denmark,9
France,Czech Republic,9
France,Cyprus,9
France,Curacao,7
France,Croatia,5
France,Bulgaria,9
France,"Bonaire, Sint Eustatius and Saba",2
France,Belgium,9
France,Austria,9
France,Aruba,7
France,Argentina,2
France,Andorra,2
Georgia,United States,3
Germany,"Virgin Islands, British",7
Germany,United States,5
Germany,United Kingdom,9
Germany,Switzerland,2
Germany,Sweden,9
Germany,Spain,9
Germany,South Africa,2
Germany,Slovenia,9
Germany,Slovakia,9
Germany,Seychelles,2
Germany,San Marino,2
Germany,Romania,9
Germany,Portugal,9
Germany,Poland,9
Germany,Norway,2
Germany,Netherlands,9
Germany,Montserrat,7
Germany,Monaco,2
Germany,Mexico,2
Germany,Malta,9
Germany,Luxembourg,9
Germany,Lithuania,9
Germany,Liechtenstein,2
Germany,Latvia,9
Germany,"Korea, Republic of",2
Germany,Jersey,9
Germany,Italy,9
Germany,Isle of Man,9
Germany,Ireland,9
Germany,India,2
Germany,Iceland,2
Germany,Hungary,9
Germany,Guernsey,9
Germany,Greece,9
Germany,Gibraltar,9
Germany,France,9
Germany,Finland,9
Germany,Faroe Islands,2
Germany,Estonia,9
Germany,Denmark,9
Germany,Czech Republic,9
Germany,Cyprus,9
Germany,Curacao,7
Germany,Croatia,5
Germany,Bulgaria,9
Germany,Belgium,9
Germany,Austria,9
Germany,Aruba,7
Germany,Argentina,2
Germany,Andorra,2
Gibraltar,United States,3
Gibraltar,United Kingdom,6
Gibraltar,Switzerland,2
Gibraltar,Sweden,9
Gibraltar,Spain,9
Gibraltar,South Africa,2
Gibraltar,Slovenia,9
Gibraltar,Slovakia,9
Gibraltar,Seychelles,2
Gibraltar,San Marino,2
Gibraltar,Romania,9
Gibraltar,Portugal,9
Gibraltar,Poland,9
Gibraltar,Norway,2
Gibraltar,Netherlands,9
Gibraltar,Monaco,2
Gibraltar,Mexico,2
Gibraltar,Malta,9
Gibraltar,Luxembourg,9
Gibraltar,Lithuania,9
Gibraltar,Liechtenstein,2
Gibraltar,Latvia,9
Gibraltar,"Korea, Republic of",2
Gibraltar,Italy,9
Gibraltar,Ireland,9
Gibraltar,India,2
Gibraltar,Iceland,2
Gibraltar,Hungary,9
Gibraltar,Greece,9
Gibraltar,Germany,9
Gibraltar,France,9
Gibraltar,Finland,9
Gibraltar,Faroe Islands,2
Gibraltar,Estonia,9
Gibraltar,Denmark,9
Gibraltar,Czech Republic,9
Gibraltar,Cyprus,9
Gibraltar,Croatia,5
Gibraltar,Bulgaria,9
Gibraltar,Belgium,9
Gibraltar,Austria,9
Gibraltar,Argentina,2
Gibraltar,Andorra,2
Greece,"Virgin Islands, British",7
Greece,United States,2
Greece,United Kingdom,9
Greece,Switzerland,2
Greece,Sweden,9
Greece,Spain,9
Greece,Slovenia,9
Greece,Slovakia,9
Greece,San Marino,2
Greece,Romania,9
Greece,Portugal,9
Greece,Poland,9
Greece,Netherlands,9
Greece,Montserrat,7
Greece,Monaco,2
Greece,Malta,9
Greece,Luxembourg,9
Greece,Lithuania,9
Greece,Liechtenstein,2
Greece,Latvia,9
Greece,Jersey,7
Greece,Italy,9
Greece,Isle of Man,7
Greece,Ireland,9
Greece,Hungary,9
Greece,Guernsey,7
Greece,Gibraltar,9
Greece,Germany,9
Greece,France,9
Greece,Finland,9
Greece,Estonia,9
Greece,Denmark,9
Greece,Czech Republic,9
Greece,Cyprus,9
Greece,Curacao,7
Greece,Croatia,5
Greece,Bulgaria,9
Greece,Belgium,9
Greece,Austria,9
Greece,Aruba,7
Greece,Andorra,2
Greenland,United States,2
Greenland,United Kingdom,2
Greenland,Sweden,2
Greenland,Spain,2
Greenland,Slovenia,2
Greenland,Norway,2
Greenland,Netherlands,2
Greenland,Mexico,2
Greenland,Malta,2
Greenland,Luxembourg,2
Greenland,Latvia,2
Greenland,Jersey,2
Greenland,Italy,2
Greenland,Isle of Man,2
Greenland,Ireland,2
Greenland,India,2
Greenland,Iceland,2
Greenland,Guernsey,2
Greenland,Gibraltar,2
Greenland,Germany,2
Greenland,France,2
Greenland,Finland,2
Greenland,Faroe Islands,2
Greenland,Estonia,2
Greenland,Denmark,2
Greenland,Bulgaria,1
Greenland,Belgium,2
Grenada,United States,2
Guernsey,United States,3
Guernsey,United Kingdom,9
Guernsey,Sweden,7
Guernsey,Spain,7
Guernsey,South Africa,2
Guernsey,Slovenia,7
Guernsey,Slovakia,7
Guernsey,Seychelles,2
Guernsey,San Marino,2
Guernsey,Romania,7
Guernsey,Portugal,5
Guernsey,Poland,5
Guernsey,Norway,2
Guernsey,Netherlands,7
Guernsey,Mexico,2
Guernsey,Malta,7
Guernsey,Luxembourg,7
Guernsey,Lithuania,7
Guernsey,Latvia,7
Guernsey,"Korea, Republic of",2
Guernsey,Italy,7
Guernsey,Ireland,7
Guernsey,India,2
Guernsey,Iceland,2
Guernsey,Hungary,7
Guernsey,Greece,5
Guernsey,Gibraltar,5
Guernsey,Germany,7
Guernsey,France,7
Guernsey,Finland,7
Guernsey,Faroe Islands,2
Guernsey,Estonia,7
Guernsey,Denmark,7
Guernsey,Czech Republic,7
Guernsey,Cyprus,5
Guernsey,Croatia,3
Guernsey,Bulgaria,6
Guernsey,Belgium,7
Guernsey,Austria,5
Guernsey,Argentina,2
Guyana,United States,2
Haiti,United States,2
Holy See,United States,3
Honduras,United States,3
Hong Kong,United States,2
Hungary,"Virgin Islands, British",7
Hungary,United States,4
Hungary,United Kingdom,9
Hungary,Switzerland,2
Hungary,Sweden,9
Hungary,Spain,9
Hungary,South Africa,4
Hungary,Slovenia,9
Hungary,Slovakia,9
Hungary,Seychelles,4
Hungary,San Marino,2
Hungary,Romania,9
Hungary,Portugal,9
Hungary,Poland,9
Hungary,Norway,4
Hungary,Netherlands,9
Hungary,Montserrat,7
Hungary,Monaco,2
Hungary,Mexico,4
Hungary,Malta,9
Hungary,Luxembourg,9
Hungary,Lithuania,9
Hungary,Liechtenstein,2
Hungary,Latvia,9
Hungary,"Korea, Republic of",4
Hungary,Jersey,11
Hungary,Italy,9
Hungary,Isle of Man,11
Hungary,Ireland,9
Hungary,India,4
Hungary,Iceland,4
Hungary,Guernsey,11
Hungary,Greece,9
Hungary,Gibraltar,9
Hungary,Germany,9
Hungary,France,9
Hungary,Finland,9
Hungary,Faroe Islands,4
Hungary,Estonia,9
Hungary,Denmark,9
Hungary,Czech Republic,9
Hungary,Cyprus,9
Hungary,Curacao,7
Hungary,Croatia,5
Hungary,Bulgaria,9
Hungary,Belgium,9
Hungary,Austria,9
Hungary,Aruba,7
Hungary,Argentina,4
Hungary,Andorra,2
Iceland,United States,3
Iceland,United Kingdom,2
Iceland,Sweden,2
Iceland,Spain,2
Iceland,South Africa,2
Iceland,Slovenia,2
Iceland,Slovakia,2
Iceland,Seychelles,2
Iceland,San Marino,2
Iceland,Romania,2
Iceland,Norway,2
Iceland,Netherlands,2
Iceland,Mexico,2
Iceland,Malta,2
Iceland,Luxembourg,2
Iceland,Lithuania,2
Iceland,Latvia,2
Iceland,"Korea, Republic of",2
Iceland,Jersey,2
Iceland,Italy,2
Iceland,Isle of Man,2
Iceland,Ireland,2
Iceland,India,2
Iceland,Hungary,2
Iceland,Guernsey,2
Iceland,Gibraltar,2
Iceland,Germany,2
Iceland,France,2
Iceland,Finland,2
Iceland,Faroe Islands,2
Iceland,Estonia,2
Iceland,Denmark,2
Iceland,Czech Republic,2
Iceland,Bulgaria,1
Iceland,Belgium,2
Iceland,Argentina,2
India,United States,3
India,United Kingdom,2
India,Sweden,2
India,Spain,2
India,South Africa,2
India,Slovenia,2
India,Seychelles,2
India,San Marino,2
India,Romania,2
India,Norway,2
India,Netherlands,2
India,Mexico,2
India,Malta,2
India,Luxembourg,2
India,Lithuania,2
India,Latvia,2
India,"Korea, Republic of",2
India,Jersey,2
India,Italy,2
India,Isle of Man,2
India,Ireland,2
India,Iceland,2
India,Hungary,2
India,Guernsey,2
India,Gibraltar,2
India,Germany,2
India,France,2
India,Finland,2
India,Faroe Islands,2
India,Estonia,2
India,Denmark,2
India,Czech Republic,2
India,Bulgaria,1
India,Belgium,2
India,Argentina,2
Indonesia,United States,2
Iraq,United States,2
Ireland,"Virgin Islands, British",7
Ireland,United States,4
Ireland,United Kingdom,9
Ireland,Switzerland,2
Ireland,Sweden,9
Ireland,Spain,9
Ireland,South Africa,2
Ireland,Slovenia,9
Ireland,Slovakia,9
Ireland,Seychelles,2
Ireland,San Marino,2
Ireland,Romania,9
Ireland,Portugal,9
Ireland,Poland,9
Ireland,Norway,2
Ireland,Netherlands,9
Ireland,Montserrat,7
Ireland,Monaco,2
Ireland,Mexico,2
Ireland,Malta,9
Ireland,Luxembourg,9
Ireland,Lithuania,9
Ireland,Liechtenstein,2
Ireland,Latvia,9
Ireland,"Korea, Republic of",2
Ireland,Jersey,9
Ireland,Italy,9
Ireland,Isle of Man,9
Ireland,India,2
Ireland,Iceland,2
Ireland,Hungary,9
Ireland,Guernsey,9
Ireland,Greece,9
Ireland,Gibraltar,9
Ireland,Germany,9
Ireland,France,9
Ireland,Finland,9
Ireland,Faroe Islands,2
Ireland,Estonia,9
Ireland,Denmark,9
Ireland,Czech Republic,9
Ireland,Cyprus,9
